target,f1,f2,f3,f4,f5,f6,f7,f8,f9
2.77,13.85,27.7,0,0,223.6,500,103500,10,35
3.42,17.1,27.9,0,0,261.3,500,18000,5,20
37.84,189.2,25,4.15,0.1,495.7,499.9,184500,10,30
57.64,288.2,96.65,0,0.15,474.05,500,378000,5,15
76.93,384.65,279.35,0,0.2,404.55,500,360000,5,25
64.62,323.1,313,0,0.15,359.1,500,157500,5,25
3.13,15.65,13.7,0,0,376.2,500,27000,10,30
3.6,18,30.95,0,0,251.35,500,139500,10,30
4.82,24.1,0,91.1,0,500,127.85,234000,5,20
3.06,15.3,18.55,0,0,318.15,500,85500,5,20
3.78,18.9,0,91.1,0,500,101.55,369000,10,35
3.6,18,0,90.55,0,500,97.5,360000,10,30
39.49,197.45,42.3,0,0.1,488.9,500,351000,5,20
55.8,279,138.4,0,0.15,447.9,500,198000,5,25
38.95,194.75,58.3,0,0.1,479,500,288000,5,5
31.61,158.05,119,0,0.05,399.45,500,148500,5,15
3.42,17.1,25,0,0,282.3,500,4500,10,30
3.85,19.25,26.65,0,0,292.75,500,9000,5,25
2.95,14.75,27,0,0,239.7,500,76500,10,30
2.81,14.05,18.9,0,0,298.3,500,4500,10,35
33.3,166.5,101.9,0,0.1,426.45,500,22500,5,15
4.64,23.2,29.35,0,0,310.05,500,85500,5,10
6.12,30.6,0,125.1,0,500,118.8,225000,5,5
101.99,509.95,268.75,0,0.25,442.35,500,202500,5,5
3.1,15.5,17.8,0,0,328.35,500,76500,5,20
121.9,609.5,237.6,0,0.3,465.85,500,166500,5,20
2.66,13.3,23.05,0,0,249.9,500,135000,10,35
115.7,578.5,307.1,0,0.25,441.65,500,306000,5,15
2.63,13.15,23.75,0,0,242.2,500,67500,5,10
3.6,18,0,86.75,0,500,101.6,324000,5,5
28.26,141.3,26.8,0.35,0.05,491.25,500,337500,5,25
3.28,16.4,0,84.95,0,500,94.8,315000,10,35
46.8,234,142.9,0,0.1,426.7,500,148500,10,35
4.43,22.15,21.8,0,0,356.35,500,67500,5,5
2.7,13.5,23.05,0.55,0,252.7,499.6,400500,10,30
72.76,363.8,77.05,0.35,0.15,489.15,500,337500,5,15
2.99,14.95,28.6,0,0,231.65,500,67500,5,25
3.56,17.8,24.5,0,0,293.9,500,13500,5,15
3.1,15.5,24.1,0,0,270.45,500,63000,5,25
6.8,34,26.8,0,0,392.7,500,418500,5,5
6.77,33.85,0,109.45,0,500,147.75,220500,5,15
96.88,484.4,241.2,0,0.2,447.6,500,265500,5,20
2.99,14.95,25.9,0,0,249.95,500,130500,5,15
76.86,384.3,155.15,0,0.2,463.65,500,306000,5,15
2.66,13.3,21.8,0,0,260.4,500,9000,5,5
51.88,259.4,209,0,0.1,389.35,500,153000,5,10
3.42,17.1,0,132.65,0,500,63.95,391500,10,30
3.85,19.25,25.2,0,0,303.5,500,18000,5,15
76.21,381.05,58.3,0.35,0.15,494.25,500,369000,5,15
3.42,17.1,0,107.1,0,500,78.85,279000,10,35
9.11,45.55,0,47.5,0,500,346.05,198000,10,35
23.65,118.25,5.2,12.25,0.05,499.5,497.35,283500,10,35
2.77,13.85,21.6,0,0,269.9,500,130500,5,10
3.82,19.1,0,124.2,0,500,76,387000,5,5
3.46,17.3,0,87.65,0,500,96.8,315000,10,30
4.75,23.75,0,128.35,0,500,91,225000,5,20
91.76,458.8,134.8,0,0.2,479.7,500,265500,5,15
31.72,158.6,8.3,5.6,0.05,499.3,499.7,319500,5,25
4.43,22.15,0,108,0,500,100.45,355500,5,10
3.64,18.2,0,131.05,0,500,68.8,319500,10,30
48.96,244.8,104.4,0,0.1,459.9,500,292500,5,20
79.81,399.05,223.75,0,0.2,436.1,500,171000,5,5
66.53,332.65,143.45,0,0.15,459.15,500,301500,5,5
4.03,20.15,30.25,0,0,277.2,500,0,5,15
2.95,14.75,19.6,0,0,300.65,500,157500,10,35
2.59,12.95,21.6,0,0,257.1,500,67500,10,30
37.48,187.4,65.35,0,0.1,472.1,500,193500,10,30
3.17,15.85,25.9,0,0,261,500,72000,5,5
3.35,16.75,0,68.2,0,500,119.25,247500,10,35
2.88,14.4,9.7,1.25,0,414.7,498.15,117000,5,15
4.61,23.05,17.8,0,0,395.75,500,423000,10,35
3.67,18.35,0,84.4,0,500,106.25,391500,10,35
2.84,14.2,23.4,0,0,259.4,500,63000,5,5
27.72,138.6,20.7,30.4,0.05,494.5,488.4,373500,5,20
84.49,422.45,331.55,0,0.2,393.35,500,207000,5,5
4.36,21.8,0,104.4,0,500,102.2,364500,10,30
3.17,15.85,0,57.4,0,500,133.1,337500,10,35
4.57,22.85,24.85,0,0,338.45,500,414000,5,10
3.13,15.65,22.7,0,0,283.8,500,22500,10,35
2.92,14.6,0,57.4,0,500,123.25,387000,10,35
56.23,281.15,151.9,0,0.15,439.9,500,261000,5,25
5.94,29.7,27,0,0,369.95,500,45000,5,15
131.18,655.9,268,0,0.3,462.85,500,162000,5,20
3.06,15.3,0,84.95,0,500,88.65,387000,5,15
65.09,325.45,152.8,0,0.15,452.6,500,171000,5,15
4.79,23.95,32.4,0,0,297.2,500,76500,5,10
4.64,23.2,29.7,0,0,307.8,500,49500,5,10
3.6,18,31.85,0,0,246,500,9000,5,10
7.6,38,38.35,0,0,351.95,500,31500,5,10
54,270,153.35,0,0.1,434.75,500,243000,5,5
4.93,24.65,0,88.9,0,500,133.6,166500,10,30
53.21,266.05,88,0,0.1,474.7,500,310500,5,25
53.28,266.4,122.6,0,0.1,454.2,500,288000,5,15
93.67,468.35,143.8,0,0.2,478,500,310500,5,5
3.42,17.1,0,68.05,0,500,121.85,261000,10,35
3.06,15.3,22.3,0,0,282.85,500,117000,5,25
3.42,17.1,0,37.1,0,500,209.3,328500,10,35
3.31,16.55,12.25,0.2,0,401.9,499.95,121500,5,20
41.9,209.5,225.55,0,0.1,340.3,500,153000,5,5
122.54,612.7,259.4,0,0.3,460.45,500,265500,5,20
42.62,213.1,175.7,0,0.1,385.8,500,148500,5,5
3.49,17.45,0,56.5,0,500,147.55,225000,5,5
2.48,12.4,22.3,0,0,243,500,423000,5,10
106.16,530.8,178,0,0.25,474.05,500,301500,5,20
4.03,20.15,0,123.1,0,500,80.75,324000,10,30
6.66,33.3,0,128.15,0,500,125.75,373500,5,25
3.28,16.4,21.05,0,0,307.3,500,58500,5,25
3.31,16.55,23.2,0,0,290.35,500,49500,5,25
3.53,17.65,18.2,0,0,348.1,500,427500,5,25
42.77,213.85,55.8,0,0.1,483.8,500,279000,5,25
3.06,15.3,28.25,0,0,238.1,500,121500,5,10
3.49,17.45,20,0,0,328.7,500,63000,5,25
2.92,14.6,13.7,0,0,364.6,500,94500,5,10
4.61,23.05,25,0,0,338.95,500,67500,5,25
55.8,279,82.1,0,0.15,479.65,500,270000,5,15
3.02,15.1,18,0,0,321.35,500,112500,5,5
3.1,15.5,0,82.8,0,500,92,378000,10,35
3.31,16.55,28.25,0,0,252.75,500,108000,5,10
2.81,14.05,0,86.05,0,500,80.55,387000,10,30
3.31,16.55,21.8,0,0,302.35,500,405000,10,35
3.89,19.45,12.6,2.5,0,419.65,495.9,423000,5,25
146.88,734.4,352.45,0,0.35,450.8,500,288000,5,5
54.68,273.4,140.75,0,0.15,444.55,500,270000,5,5
3.53,17.65,31.15,0,0,246.5,500,4500,5,15
6.05,30.25,27.55,0,0,369.65,500,45000,5,20
3.78,18.9,0,79.75,0,500,115.3,396000,5,20
3.74,18.7,23.75,0,0,309.3,500,409500,5,5
36.47,182.35,134.3,0,0.1,402.6,500,144000,5,25
26.64,133.2,0.2,25.9,0.05,500,490.8,378000,5,5
53.46,267.3,113.95,0,0.1,459.95,500,297000,5,20
113.04,565.2,304.4,0,0.25,440.2,500,166500,5,25
3.2,16,0,89.45,0,500,88.05,360000,5,15
53.82,269.1,180.55,0,0.1,415.2,500,193500,5,15
3.13,15.65,15.3,0,0,357.55,500,40500,10,35
92.66,463.3,221.05,0,0.2,451.25,500,112500,10,30
3.2,16,21.6,0,0,297.6,500,58500,5,15
3.02,15.1,19.25,0,0,308.6,500,112500,5,15
3.78,18.9,0,131.4,0,500,71.2,360000,5,10
75.28,376.4,212.95,5.6,0.15,435.2,499.95,328500,5,10
81.76,408.8,60.65,1.1,0.2,494.6,500,351000,5,15
44.03,220.15,63,0,0.1,480.7,500,342000,5,5
3.78,18.9,0,130.15,0,500,71.85,351000,5,10
3.96,19.8,0,90.35,0,500,107.05,396000,5,10
3.35,16.75,13.85,0,0,385.35,500,99000,10,35
32.87,164.35,0,26.45,0.1,500,493.65,324000,5,25
36.43,182.15,174.25,0,0.1,361.3,500,157500,5,20
69.16,345.8,134.45,0,0.15,466,500,198000,5,10
7.92,39.6,0,131.6,0,500,144.05,225000,5,25
6.88,34.4,0,102.25,0,500,159.45,225000,5,20
37.73,188.65,50.2,26.45,0.1,483.2,495.15,324000,5,15
2.56,12.8,19.8,0,0,271.45,500,423000,5,25
2.92,14.6,28.6,0,0,227.35,500,99000,5,10
3.17,15.85,0,90.35,0,500,86.4,355500,10,35
83.63,418.15,194.75,0,0.2,453.25,500,360000,5,5
3.74,18.7,21.4,0,0,329,500,144000,5,5
2.7,13.5,22.85,0,0,254.35,500,49500,5,15
69.84,349.2,178.9,0,0.15,445,500,369000,5,5
3.31,16.55,10.6,43.55,0,421.05,177.6,400500,10,35
70.49,352.45,155.7,0,0.15,457.35,500,162000,5,5
3.13,15.65,0,85.85,0,500,89.65,283500,10,30
3.56,17.8,0,66.6,0,500,129.1,225000,5,10
121.68,608.4,311.2,0,0.3,445.15,500,162000,5,20
4.68,23.4,28.6,0,0,316.6,500,108000,10,35
3.38,16.9,20.15,0,0,321.3,500,63000,5,25
2.99,14.95,0,83.35,0,500,88.25,301500,5,20
29.95,149.75,130.3,0,0.05,377.2,500,148500,5,25
23.9,119.5,3.6,12.6,0.05,499.75,497.25,274500,10,35
2.63,13.15,24.65,0,0,235.35,500,94500,10,35
55.55,277.75,152.45,0,0.15,438.3,500,283500,5,20
78.98,394.9,228.95,0,0.2,432.55,500,162000,5,10
9,45,2.15,102.95,0,499.45,200.25,220500,5,25
40.39,201.95,113.95,0,0.1,435.45,500,364500,5,15
2.59,12.95,23.75,0.35,0,239.35,499.8,400500,10,35
2.66,13.3,26.65,0,0,223.25,500,409500,5,10
3.24,16.2,0,88.9,0,500,89.65,229500,10,35
52.02,260.1,120.4,9.2,0.1,453.75,499.7,216000,5,15
70.74,353.7,145.8,0,0.15,462.25,500,265500,5,25
3.38,16.9,12.95,0,0,396.9,500,45000,5,5
10.87,54.35,2.5,62.45,0,499.45,328.25,382500,5,20
55.15,275.75,127.45,0,0.15,453.85,500,283500,10,30
67.9,339.5,257.6,0,0.15,398.3,500,211500,5,15
3.06,15.3,0,83.5,0,500,90.1,225000,10,35
39.13,195.65,86.2,0,0.1,457.55,500,342000,5,5
4.21,21.05,0,121.3,0,500,85.5,378000,5,5
3.17,15.85,20.15,0,0,309.15,500,58500,10,30
4.75,23.75,31.7,0,0,299.8,500,409500,5,20
3.42,17.1,0,74.15,0,500,112.35,175500,10,30
64.12,320.6,144.9,0,0.15,455.65,500,166500,5,20
2.7,13.5,25.55,0,0,233.6,500,22500,5,25
2.77,13.85,27.7,0,0,223.6,500,63000,5,25
31.68,158.4,0,41.6,0.05,500,483.6,319500,5,20
132.91,664.55,254.7,0,0.3,466.9,500,171000,5,10
2.7,13.5,28.25,0,0,215.6,500,126000,5,20
3.56,17.8,25.2,0,0,288.45,500,405000,5,10
30.56,152.8,0,38.15,0.05,500,485.1,324000,5,10
48.02,240.1,115.4,0,0.1,450.65,500,166500,5,25
77.47,387.35,140.2,0,0.2,470.15,500,193500,5,25
3.67,18.35,23.2,0,0,310.2,500,9000,5,10
99.18,495.9,209.35,0,0.25,460.65,500,346500,5,5
38.59,192.95,216.9,0,0.1,332.35,500,153000,5,25
2.95,14.75,25.75,0,0,248.5,500,45000,5,15
56.63,283.15,135.7,0,0.15,450.9,500,288000,5,5
61.74,308.7,94.7,0,0.15,478,500,292500,5,5
63.61,318.05,164.35,0,0.15,444.2,500,184500,5,5
3.28,16.4,0,89.1,0,500,90.5,301500,10,35
3.67,18.35,34.9,0,0,232.7,500,22500,5,25
5.87,29.35,2.35,98.45,0,498.4,142.85,220500,5,25
3.53,17.65,32.05,0,0,241.2,500,117000,5,20
2.84,14.2,21.8,0,0,272.9,500,121500,5,25
3.53,17.65,18.35,0,0,346.6,500,130500,5,5
71.82,359.1,198,0,0.15,437.85,500,175500,5,10
63.22,316.1,81,37.6,0.15,484.35,496.5,378000,5,15
3.53,17.65,0,92.5,0,500,93.7,319500,10,35
2.66,13.3,17.65,0,0,300.9,500,22500,5,10
3.92,19.6,0,123.65,0,500,78.3,382500,10,35
101.02,505.1,252,0,0.25,447.4,500,274500,5,20
3.67,18.35,12.05,1.1,0,417.95,499.1,94500,5,20
72.9,364.5,120.6,0,0.15,474.7,500,319500,5,25
52.96,264.8,56.7,0,0.1,488.9,500,180000,10,30
58.25,291.25,171.55,0,0.15,430.8,500,364500,5,5
63.36,316.8,192.05,0,0.15,427.55,500,297000,5,20
3.31,16.55,20.9,0,0,310.4,500,121500,5,15
81.11,405.55,188.1,0,0.2,453.6,500,288000,5,25
3.35,16.75,22.5,0,0,298.55,500,121500,5,15
108.9,544.5,255.8,0,0.25,452.55,500,175500,5,5
2.99,14.95,0,87.5,0,500,84.2,256500,10,35
3.78,18.9,34.75,0,0,238.9,500,31500,5,15
3.1,15.5,0,84.4,0,500,90.3,180000,5,10
4.1,20.5,15.65,0,0,397.45,500,76500,5,5
53.96,269.8,177.5,0,0.1,417.7,500,279000,5,20
3.56,17.8,38,0,0,212.1,500,76500,5,20
3.13,15.65,23.05,0,0,280.85,500,76500,5,25
28.69,143.45,1.1,13.85,0.05,500,497.7,324000,5,25
88.38,441.9,228.05,0,0.2,444.3,500,171000,5,5
2.59,12.95,27.55,0,0,212.7,500,405000,5,10
3.89,19.45,23.4,0,0,319.6,500,45000,5,15
72.14,360.7,226.1,0,0.15,423.65,500,148500,5,25
4.14,20.7,0,100.25,0,500,101.1,351000,5,5
74.56,372.8,200.35,0,0.15,440.45,500,297000,5,20
3.6,18,0,89.45,0,500,98.65,351000,5,15
2.99,14.95,27.9,0,0,236.15,500,18000,10,35
22.82,114.1,0,56.5,0.05,500,448.05,306000,10,30
58.75,293.75,143.1,0,0.15,449.5,500,256500,5,10
3.89,19.45,13.7,1.6,0,408.75,498.3,0,5,20
6.01,30.05,31.3,0,0,346.3,500,414000,5,10
80.42,402.1,138.6,0,0.2,472.7,500,369000,5,5
4.07,20.35,0,127.8,0,500,78.65,387000,5,10
4.07,20.35,0,105.3,0,500,94.85,396000,5,15
77.04,385.2,145.45,0,0.2,467.75,500,261000,5,15
3.89,19.45,0,25.9,0,500,300.25,423000,5,5
2.77,13.85,28.8,0,0,216.7,500,117000,5,25
7.92,39.6,0,118.1,0,500,158.95,391500,5,5
96.88,484.4,175.7,0,0.2,470.05,500,297000,5,5
41.51,207.55,47.7,2.9,0.1,487.3,499.95,319500,5,10
3.1,15.5,0,84.95,0,500,89.75,342000,10,35
25.52,127.6,2.5,20,0.05,499.9,493.95,234000,5,5
109.08,545.4,320.2,0,0.25,431.2,500,297000,5,20
3.35,16.75,33.85,0,0,221.75,500,423000,5,15
2.88,14.4,30.4,0,0,214.05,500,108000,5,10
90.07,450.35,190.25,0,0.2,460.6,500,193500,5,5
5.87,29.35,27.35,0,0,365.8,500,54000,5,25
4.97,24.85,43.4,0,0,248.45,500,405000,5,5
38.63,193.15,83.7,0,0.1,458.8,500,342000,5,25
39.1,195.5,92,0,0.1,452.4,500,261000,5,25
6.3,31.5,0,133.9,0,500,114.5,364500,10,35
2.92,14.6,0,53.8,0,500,130.95,337500,10,35
4.28,21.4,28.8,0,0,298.2,500,72000,10,30
3.74,18.7,36,0,0,230.5,500,13500,5,10
75.85,379.25,130.3,0,0.15,472.85,500,297000,5,20
36.79,183.95,130.3,0,0.1,408,500,85500,5,20
4.61,23.05,35.1,0,0,274.45,500,414000,5,5
3.1,15.5,24.1,0,0,270.45,500,135000,5,10
55.4,277,113.4,0,0.15,462.75,500,202500,5,20
3.13,15.65,29,0,0,237.45,500,18000,5,15
3.24,16.2,16.4,0,0,351.4,500,13500,5,5
6.7,33.5,0,73.6,0,500,207.15,382500,5,25
3.28,16.4,17.45,0,0,342.4,500,81000,5,10
56.99,284.95,143.3,0,0.15,446.7,500,283500,5,10
2.92,14.6,22.5,0,0,272.15,500,112500,5,10
3.2,16,22.5,0,0,289.75,500,103500,5,10
4.61,23.05,23.6,0,0,349.35,500,121500,5,25
8.28,41.4,0,116.8,0,500,167.05,324000,5,10
3.85,19.25,17.45,0,0,370.45,500,36000,5,5
3.56,17.8,17.65,0,0,355.05,500,13500,5,25
2.7,13.5,25,0,0,237.55,500,45000,5,5
3.24,16.2,0,81.2,0,500,97.85,229500,10,30
3.38,16.9,27,0,0,265.3,500,18000,5,25
109.58,547.9,256.5,0,0.25,452.85,500,243000,5,20
4.9,24.5,0,125.1,0,500,96.1,369000,10,30
73.44,367.2,221.2,0,0.15,428.3,500,292500,5,10
70.31,351.55,207.35,0,0.15,430.65,500,283500,5,5
38.09,190.45,4.5,6.1,0.1,499.85,499.75,243000,10,30
3.74,18.7,0,92.7,0,500,98.85,189000,10,30
3.06,15.3,21.6,0,0,289,500,31500,10,30
3.71,18.55,0,116.1,0,500,78.9,184500,10,35
3.13,15.65,21.05,0,0,298.3,500,126000,5,5
3.17,15.85,0,18.55,0,500,324.8,414000,5,25
57.96,289.8,143.3,0,0.15,448.2,500,274500,5,15
107.64,538.2,250.55,0,0.25,453.3,500,216000,5,10
8.39,41.95,0,107.1,0,500,182.35,229500,5,25
59.51,297.55,121.15,0,0.15,463.1,500,270000,5,5
3.6,18,35.8,0,0,224.6,500,0,5,25
60.91,304.55,121.85,0,0.15,464.2,500,342000,5,20
3.78,18.9,0,85.7,0,500,107.7,391500,5,20
38.09,190.45,144.2,0,0.1,398.65,500,157500,10,30
3.13,15.65,21.95,0,0,290.25,500,90000,5,15
3.56,17.8,30.8,0.7,0,250.2,499.6,400500,5,25
5.4,27,0,138.25,0,500,95.85,346500,5,20
5.4,27,37.1,0,0,294.2,500,139500,5,15
2.74,13.7,24.1,0,0,247.1,500,72000,10,35
30.35,151.75,11.7,15.85,0.05,498.5,497.3,324000,5,25
3.28,16.4,0,81.7,0,500,98.4,391500,10,30
3.02,15.1,25.55,0,0,254.4,500,63000,5,10
140.29,701.45,339.65,0,0.3,450,500,162000,5,20
37.19,185.95,59.6,4.85,0.1,476.15,499.85,328500,5,25
73.01,365.05,244.1,0,0.15,415.65,500,423000,5,25
5.98,29.9,28.25,0,0,363.45,500,418500,5,10
2.52,12.6,22.3,0,0,245.95,500,99000,10,35
7.81,39.05,24.85,0,0,421.85,500,139500,5,25
2.92,14.6,19.1,0,0,303.65,500,103500,10,30
63.32,316.6,117,0,0.15,469,500,175500,5,25
37.48,187.4,197.45,0,0.1,344.2,500,148500,10,30
31.21,156.05,0,33.85,0.05,500,488.65,324000,5,25
5.9,29.5,26.45,0,0,372.25,500,67500,5,15
7.56,37.8,0,117.55,0,500,153.05,382500,5,15
3.71,18.55,0,41.2,0,500,205.25,333000,10,35
3.71,18.55,34.75,0,0,235.45,500,94500,5,5
4.79,23.95,17.45,0.55,0,404.1,499.85,144000,5,25
109.73,548.65,212.4,0,0.25,466.3,500,360000,5,10
2.99,14.95,26.8,0,0,243.6,500,99000,5,25
3.74,18.7,23.4,0,0,312.15,500,31500,10,30
3.64,18.2,28.1,0,0,271.8,500,103500,5,25
3.13,15.65,19.1,0,0,316.9,500,108000,10,30
3.71,18.55,23.75,0,0,307.75,500,22500,10,30
53.21,266.05,38,1.1,0.1,495,500,171000,5,5
100.37,501.85,174.4,0,0.25,472.3,500,342000,5,15
21.56,107.8,106.4,0,0.05,355.85,500,148500,10,35
2.88,14.4,28.45,0,0,225.8,500,9000,5,10
92.38,461.9,94.7,0,0.2,489.8,500,373500,5,10
3.67,18.35,11.5,0.2,0,423.65,499.95,72000,5,25
34.42,172.1,0,25.75,0.1,500,494.5,175500,5,25
2.92,14.6,0,87.5,0,500,82.3,310500,10,30
40.5,202.5,96.5,0,0.1,451.35,500,171000,5,25
2.7,13.5,24.1,0,0,244.35,500,94500,5,20
4.07,20.35,19.1,0,0,364.55,500,409500,10,35
2.95,14.75,0,83.5,0,500,87,378000,5,10
5.8,29,26.3,0,0,370.35,500,103500,5,10
42.23,211.15,104.95,0,0.1,447.75,500,333000,5,20
3.74,18.7,0,94.7,0,500,96.85,198000,10,30
19.01,95.05,24.85,15.1,0.05,483.75,493.8,328500,5,15
2.99,14.95,21.25,0,0,287.7,500,90000,10,35
36.97,184.85,126.35,0,0.1,412.8,500,216000,5,20
53.64,268.2,149.2,0,0.1,436.95,500,310500,5,15
4.68,23.4,27.2,0,0,326.1,500,126000,5,10
3.42,17.1,0,89.1,0,500,94.25,274500,10,35
3.42,17.1,0,73.25,0,500,113.65,225000,10,30
3.53,17.65,33.3,0,0,234.15,500,54000,10,30
2.95,14.75,0,81.2,0,500,89.35,261000,10,35
3.28,16.4,0,86.2,0,500,93.45,274500,10,35
3.1,15.5,0,81.9,0,500,93,396000,10,35
3.6,18,21.8,0,0,318.35,500,45000,5,10
56.3,281.5,76.15,0,0.15,482.65,500,198000,5,25
3.64,18.2,18.2,0,0,353.55,500,117000,5,25
2.74,13.7,25.4,0,0,237.35,500,90000,5,5
34.38,171.9,130.15,0,0.1,398.65,500,148500,5,10
3.1,15.5,26.45,0,0,252.8,500,31500,5,25
61.56,307.8,112.3,0.9,0.15,469.7,500,202500,5,10
3.02,15.1,19.45,0,0,306.6,500,31500,10,35
3.06,15.3,9,2.5,0,430.95,493.45,45000,5,25
2.99,14.95,0,80.45,0,500,91.35,225000,5,25
60.73,303.65,137,0,0.15,455.75,500,189000,5,15
3.6,18,17.3,0,0,360.5,500,63000,5,25
65.34,326.7,143.65,0,0.15,457.7,500,306000,5,5
3.82,19.1,12.6,2,0,417.35,497.3,414000,5,20
3.28,16.4,12.95,0,0,392.4,500,18000,5,25
30.67,153.35,129.6,0,0.05,381.9,500,148500,5,10
4.57,22.85,23.4,0,0,349.3,500,45000,5,5
2.92,14.6,22.15,0,0,275.15,500,40500,5,5
56.2,281,160.2,0,0.15,434.35,500,261000,5,15
3.74,18.7,26.45,0,0,288.65,500,40500,10,30
41.83,209.15,69.1,1.45,0.1,474.75,500,400500,5,10
4.1,20.5,18.55,0,0,370.75,500,126000,10,30
46.12,230.6,99.35,7.75,0.1,459.2,499.7,216000,5,5
2.56,12.8,0,28.8,0,500,203.05,207000,5,15
2.99,14.95,18.55,0,0,313.75,500,4500,5,5
3.67,18.35,12.8,0.55,0,410.1,499.8,135000,10,30
3.02,15.1,29,0,0,230.9,500,90000,5,25
100.58,502.9,228.05,0,0.25,455.35,500,328500,5,20
4,20,0,95.75,0,500,102.25,396000,5,5
47.45,237.25,169.4,0,0.1,406.9,500,216000,5,10
2.59,12.95,18.35,0,0,288.3,500,103500,10,35
3.49,17.45,0,55.1,0,500,150.95,324000,10,35
60.01,300.05,116.1,0,0.15,466.3,500,189000,5,20
3.67,18.35,0,87.5,0,500,102.6,301500,10,30
60.48,302.4,109.25,0,0.15,470.25,500,198000,5,20
4.72,23.6,21.6,0,0,368.85,500,63000,10,30
116.78,583.9,233.8,0,0.25,464.15,500,193500,10,35
79.88,399.4,212.4,0,0.2,441.45,500,207000,5,20
2.95,14.75,22.5,0,0,274.15,500,409500,5,15
3.56,17.8,25.4,0,0,286.95,500,49500,5,10
2.52,12.6,0,23.4,0,500,237.05,328500,5,10
3.1,15.5,0,73.45,0,500,103.25,292500,10,35
2.74,13.7,25.75,0,0,234.85,500,99000,5,15
5.22,26.1,0,132.1,0,500,96.9,310500,10,30
26.6,133,123.3,0,0.05,366.65,500,148500,5,20
3.74,18.7,24.5,0,0,303.35,500,418500,5,20
66.17,330.85,249.3,0,0.15,399.35,500,211500,5,15
3.35,16.75,0,86.95,0,500,94.6,189000,5,20
3.67,18.35,0,108,0,500,83.75,355500,10,30
3.17,15.85,23.4,0,0,280.4,500,45000,10,35
106.56,532.8,257.75,0,0.25,450.1,500,198000,5,15
2.74,13.7,25.55,0,0,236.3,500,13500,10,35
3.2,16,30.8,0,0,230.5,500,9000,5,10
74.3,371.5,116.8,0,0.15,477,500,360000,5,5
3.24,16.2,21.8,0,0,298.25,500,130500,5,25
50.58,252.9,41.6,0.35,0.1,493.35,500,364500,5,25
3.53,17.65,30.95,0,0,247.7,500,81000,10,30
3.13,15.65,24.1,0,0,272.3,500,76500,5,20
4.25,21.25,0,111.8,0,500,93.35,391500,10,30
58.79,293.95,168.1,0,0.15,434.05,500,333000,5,25
3.24,16.2,0,58.15,0,500,134.2,382500,10,35
3.85,19.25,32.75,0,0,253.35,500,54000,10,35
121.75,608.75,246.6,0,0.3,463.4,500,180000,5,25
66.85,334.25,228.05,0,0.15,413.05,500,207000,5,20
73.76,368.8,152.45,0,0.15,462.1,500,292500,5,5
3.38,16.9,24.65,0,0,282.75,500,63000,5,20
3.92,19.6,35.3,0,0,242.7,500,54000,5,25
7.16,35.8,0,50.05,0,500,290.9,328500,5,10
4,20,13.7,2,0,412.5,497.5,13500,5,20
4,20,29,0,0,283.85,500,63000,10,30
2.59,12.95,24.5,0,0,233.65,500,85500,10,30
66.53,332.65,190.25,0,0.15,434.05,500,171000,5,15
56.3,281.5,98.65,0,0.15,471.85,500,283500,5,25
3.24,16.2,26.1,0,0,263.7,500,81000,10,30
34.63,173.15,11.5,4.3,0.1,498.9,499.85,261000,10,35
2.92,14.6,21.95,0,0,276.9,500,126000,5,20
20.66,103.3,5.4,15.85,0.05,499.3,494.2,202500,10,35
72,360,190.45,0,0.15,441.95,500,261000,5,20
4.46,22.3,30.25,0,0,296.7,500,139500,5,25
28.15,140.75,35.8,3.4,0.05,484.55,499.85,328500,5,25
3.2,16,24.65,0,0,272.25,500,63000,10,30
2.84,14.2,0,26.3,0,500,237.55,9000,10,35
3.28,16.4,34.4,0,0,215.15,500,405000,10,30
136.84,684.2,315.2,0,0.3,454.15,500,355500,5,20
2.92,14.6,27.9,0,0,231.85,500,144000,10,30
41.4,207,156.25,0,0.1,399.05,500,202500,5,25
2.88,14.4,21.6,0,0,277.35,500,0,10,35
64.51,322.55,167.95,0,0.15,443.5,500,274500,5,5
21.38,106.9,0,81.55,0.05,500,397.55,382500,5,10
40.07,200.35,76.85,0,0.1,466.85,500,333000,5,20
36.54,182.7,11.5,3.95,0.1,499,499.9,270000,5,10
79.24,396.2,186.1,0,0.2,452.55,500,355500,5,10
6.95,34.75,0,100.25,0,500,163.75,234000,5,10
4.5,22.5,27.35,0,0,317.65,500,139500,5,10
38.48,192.4,149.6,0,0.1,394.7,500,90000,5,20
20.74,103.7,0.2,74.5,0.05,500,406.05,378000,5,15
30.96,154.8,153.35,0,0.05,355.2,500,148500,5,20
136.4,682,299.5,0,0.3,457.8,500,180000,5,20
3.53,17.65,17.45,0,0,355.55,500,418500,5,20
82.76,413.8,153,0,0.2,468.95,500,292500,5,10
3.42,17.1,22.15,0,0,305.55,500,405000,5,25
42.37,211.85,21.95,7.2,0.1,497.35,499.7,315000,5,25
65.27,326.35,322.2,0,0.15,355.8,500,157500,5,20
36,180,31.7,0,0.1,492.4,500,211500,10,35
2.74,13.7,22.85,0,0,257.1,500,27000,10,35
45.79,228.95,151.4,0,0.1,417.05,500,351000,5,25
78.41,392.05,297.7,0,0.2,398.2,500,153000,5,5
3.6,18,30.8,0,0,252.3,500,13500,5,25
49.28,246.4,83.15,0,0.1,473.75,500,279000,5,15
